,employee_id,first_name,last_name,gender,region,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime_bonus,birthdate,termination_date
0,00-93810,Amanda,O'Neill,Female,Wellington,Porirua,2017-04-17,Sales,Sales Specialist,Master,60000,Satisfactory,Yes,1962-05-28,2018-05-15
1,00-10851,Cameron,Jensen,Male,Auckland,Auckland City,2023-02-09,Finance,Accountant,Bachelor,89000,Good,Yes,1989-07-17,2023-08-08
2,00-57400,Stephanie,Lawson,Female,Christchurch,Colombo Street,2021-02-03,Customer Service,Customer Service Representative,Bachelor,61000,Excellent,Yes,2002-09-30,2024-08-18
3,00-80010,Amber,Bradley,Female,Wellington,Wellington City,2023-02-06,Sales,Sales Specialist,Master,62000,Needs Improvement,No,1976-04-15,2023-08-05
4,00-44718,Kayla,Cook,Female,Christchurch,Colombo Street,2017-01-11,Operations,Inventory Specialist,High School,59000,Satisfactory,No,2003-04-21,2023-01-17
5,00-42953,Paul,Hope,Male,Wellington,Wellington City,2025-09-30,Customer Service,Customer Service Representative,Bachelor,63000,Good,No,1973-05-19,2026-03-29
6,00-31174,Darren,Cole,Male,Wellington,Wellington City,2020-08-16,Sales,Sales Representative,Bachelor,78000,Needs Improvement,No,2005-01-09,2021-02-12
7,00-89507,Sofia,Murphy,Female,Christchurch,Cathedral Square,2019-10-22,Operations,Inventory Specialist,High School,53000,Good,No,1991-10-09,2020-04-19
8,00-53309,Nicola,Wills,Female,Auckland,Albany,2016-05-12,Operations,Operations Analyst,Bachelor,75000,Good,No,1996-10-08,2018-02-19
9,00-62772,Debra,Murphy,Female,Auckland,Albany,2023-10-24,Operations,Logistics Coordinator,Bachelor,56000,Satisfactory,No,1985-03-17,2024-04-21
10,00-62565,Benjamin,Wells,Male,Christchurch,Colombo Street,2024-02-07,Operations,Inventory Specialist,High School,62000,Good,Yes,1986-11-13,2024-08-05
11,00-76562,Hamish,Lucas,Male,Wellington,Wellington City,2017-04-13,IT,System Administrator,Master,71000,Satisfactory,No,2002-04-09,2019-05-19
12,00-94607,Peter,Bull,Male,Auckland,Albany,2018-07-28,Operations,Operations Analyst,Bachelor,81000,Satisfactory,Yes,1984-06-04,2021-08-14
13,00-97538,Timothy,Jackson,Male,Wellington,Porirua,2023-01-31,Customer Service,Support Specialist,,63000,Good,Yes,1984-11-30,2023-07-30
14,00-10464,  Samuel  ,Simmons,Male,Wellington,Porirua,2018-08-29,Marketing,Marketing Coordinator,Bachelor,81000,Satisfactory,No,1995-11-14,2024-02-26
15,00-42706,Ian,Hogg,Male,Auckland,Manukau,2022-03-16,Customer Service,Customer Service Manager,PhD,71000,Good,No,1994-01-09,2022-09-12
16,00-50001,Andrew,Marfell,Male,Auckland,Manukau,2023-03-30,IT,System Administrator,Bachelor,107000,Satisfactory,No,1972-06-05,2023-09-26
17,00-51114,Huia,Middleton,Female,Auckland,Manukau,2019-11-29,Sales,Sales Manager,Master,114000,Excellent,No,2002-02-13,2021-12-27
18,00-50538,Ashley,Mason,Female,Christchurch,Cathedral Square,2022-04-18,Operations,Inventory Specialist,Bachelor,60000,Needs Improvement,No,1997-12-06,2022-10-15
19,00-77000,Samuel,Fowler,Male,Auckland,Auckland City,2020-03-04,Sales,Sales Representative,Bachelor,69000,Good,Yes,1996-08-26,2021-11-15
20,00-60328,Deborah,Gardiner,Female,Auckland,Albany,2020-04-13,Marketing,SEO Specialist,Bachelor,81000,Good,Yes,1985-02-02,2020-10-10
21,00-76162,Nicholas,Kenny,Male,Auckland,New Lynn,2019-01-28,IT,IT Support Specialist,High School,63000,Good,No,1985-04-24,2024-10-09
22,00-64377,Christopher,Griffiths,Male,Christchurch,Cathedral Square,2019-10-11,Sales,Sales Representative,Bachelor,59000,Good,No,1987-06-02,2020-04-08
