employee_id,first_name,last_name,gender,region,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime_bonus,birthdate,termination_date
00-93810,Amanda,O'Neill,Female,Wellington,Porirua,2017-04-17,Sales,Sales Specialist,Master,60000.0,Satisfactory,Yes,1962-05-28,2018-05-15
00-10851,Cameron,Jensen,Male,Auckland,Auckland City,2023-02-09,Finance,Accountant,Bachelor,89000.0,Good,Yes,1989-07-17,2023-08-08
00-57400,Stephanie,Lawson,Female,Christchurch,Colombo Street,2021-02-03,Customer Service,Customer Service Representative,Bachelor,61000.0,Excellent,Yes,2002-09-30,2024-08-18
00-80010,Amber,Bradley,Female,Wellington,WELLINGTON CITY,2023-02-06,Sales,Sales Specialist,Master,62000.0,Needs Improvement,No,1976-04-15,2023-08-05
00-44718,Kayla,Cook,Female,Christchurch,Colombo Street,2017-01-11,Operations,Inventory Specialist,High School,59000.0,Satisfactory,No,2003-04-21,2023-01-17
00-42953,Paul,Hope,Male,Wellington,Wellington City,2025-09-30,Customer Service,Customer Service Representative,Bachelor,63000.0,Good,No,1973-05-19,2026-03-29
00-31174,Darren,Cole,Male,Wellington,Wellington City,2020-08-16,Sales,Sales Representative,Bachelor,78000.0,Needs Improvement,No,2005-01-09,2021-02-12
00-89507,Sofia,Murphy,Female,Christchurch,Cathedral Square,2019-10-22,Operations,Inventory Specialist,High School,53000.0,Good,No,1991-10-09,2020-04-19
00-53309,Nicola,Wills,Female,Auckland,Albany,2016-05-12,Operations,Operations Analyst,Bachelor,75000.0,Good,No,1996-10-08,2018-02-19
00-62772,Debra,Murphy,Female,Auckland,Albany,2023-10-24,Operations,Logistics Coordinator,Bachelor,56000.0,Satisfactory,No,1985-03-17,2024-04-21
00-62565,Benjamin,Wells,Male,Christchurch,Colombo Street,2024-02-07,Operations,Inventory Specialist,High School,62000.0,Good,Yes,1986-11-13,2024-08-05
00-76562,Hamish,Lucas,Male,Wellington,Wellington City,2017-04-13,IT,System Administrator,Master,71000.0,Satisfactory,No,2002-04-09,2019-05-19
00-94607,Peter,Bull,Male,Auckland,Albany,2018-07-28,Operations,Operations Analyst,Bachelor,81000.0,Satisfactory,Yes,1984-06-04,2021-08-14
00-97538,Timothy,Jackson,Male,Wellington,Porirua,2023-01-31,Customer Service,Support Specialist,,63000.0,Good,Yes,1984-11-30,2023-07-30
00-10464,  Samuel  ,Simmons,Male,Wellington,Porirua,2018-08-29,Marketing,Marketing Coordinator,Bachelor,81000.0,Satisfactory,No,1995-11-14,2024-02-26
00-42706,Ian,Hogg,Male,Auckland,Manukau,2022-03-16,Customer Service,Customer Service Manager,PhD,71000.0,Good,No,1994-01-09,2022-09-12
00-50001,Andrew,Marfell,Male,Auckland,Manukau,2023-03-30,IT,System Administrator,Bachelor,107000.0,Satisfactory,No,1972-06-05,2023-09-26
00-51114,Huia,Middleton,Female,Auckland,Manukau,2019-11-29,Sales,Sales Manager,Master,114000.0,Excellent,No,2002-02-13,2021-12-27
00-50538,Ashley,Mason,Female,Christchurch,Cathedral Square,2022-04-18,Operations,Inventory Specialist,Bachelor,60000.0,Needs Improvement,No,1997-12-06,2022-10-15
00-77000,Samuel,Fowler,Male,Auckland,Auckland City,2020-03-04,Sales,Sales Representative,Bachelor,69000.0,Good,Yes,1996-08-26,2021-11-15
00-60328,Deborah,Gardiner,Female,Auckland,Albany,2020-04-13,Marketing,SEO Specialist,Bachelor,81000.0,Good,Yes,1985-02-02,2020-10-10
00-76162,Nicholas,Kenny,Male,Auckland,New Lynn,2019-01-28,IT,IT Support Specialist,High School,63000.0,Good,No,1985-04-24,2024-10-09
00-64377,Christopher,Griffiths,Male,Christchurch,Cathedral Square,2019-10-11,Sales,Sales Representative,Bachelor,59000.0,Good,No,1987-06-02,2020-04-08
00-13804,Karen,Jensen,Female,Christchurch,Cathedral Square,2019-04-15,Finance,Financial Analyst,Bachelor,66000.0,Satisfactory,No,1973-10-09,2021-04-25
00-65255,Megan,Burr,Female,Auckland,Manukau,2018-08-05,Operations,Operations Analyst,Bachelor,57000.0,Good,Yes,1978-01-30,2022-04-19
00-89415,graham,Cook,Male,Christchurch,Cathedral Square,2022-10-26,IT,System Administrator,Bachelor,112000.0,Good,No,1976-12-12,2023-04-24
00-15383,David,Terry,Male,Auckland,Auckland City,2019-01-13,Operations,Logistics Coordinator,Bachelor,69000.0,Good,No,1975-02-19,2020-10-16
00-67091,James,Wills,Male,Wellington,Wellington City,2023-01-26,Finance,Financial Analyst,PhD,70000.0,Good,No,1983-12-27,2023-07-25
00-11330,Tyler,MacDonald,Male,Auckland,Albany,2020-12-06,Customer Service,Customer Service Representative,High School,62000.0,Good,Yes,1992-01-10,2021-06-04
00-56112,Daniel,Moran,Male,Auckland,New Lynn,2022-07-13,Customer Service,Customer Service Representative,High School,56000.0,Good,Yes,1982-08-31,2023-01-09
00-45954,Thomas,Black,Male,Auckland,Albany,2016-06-27,Sales,Sales Specialist,Bachelor,75000.0,Good,No,2002-11-21,2024-11-24
00-29555,Cameron,Turner,Male,Wellington,Lower Hutt,2023-10-17,Operations,Inventory Specialist,Bachelor,61000.0,Good,No,1982-01-26,2024-04-14
00-44687,Dominic,Hope,Male,Christchurch,Cathedral Square,2022-08-16,Customer Service,Customer Service Representative,High School,58000.0,Excellent,Yes,1983-03-14,2023-02-12
00-81376,Mark,Wilton,Male,Auckland,Manukau,2017-05-21,IT,IT Support Specialist,High School,65000.0,Excellent,No,1985-04-12,2021-07-14
00-13390,Tui,Cook,Female,Wellington,Porirua,2017-07-17,Finance,Financial Analyst,PhD,107000.0,Satisfactory,No,1989-12-30,2023-09-28
00-31079,Phillip,Cox,Male,Christchurch,Colombo Street,2018-12-01,Operations,Logistics Coordinator,Bachelor,72000.0,Good,No,1986-12-06,2021-02-25
00-45003,Mary,Mitchell,Female,Wellington,Porirua,2020-11-03,Customer Service,Customer Service Representative,High School,60000.0,Excellent,No,1977-05-13,2021-05-02
00-73242,Martin,Payne,Male,Auckland,Auckland City,2025-05-30,Operations,Inventory Specialist,Bachelor,70000.0,Satisfactory,No,1992-03-24,2025-11-26
00-73483,Tangaroa,Fisher,Male,Auckland,Albany,2019-07-25,Finance,Accountant,Bachelor,84000.0,Good,No,1977-09-09,2020-01-21
00-23154,  Lily  ,Neal,Female,Auckland,Albany,2024-01-05,Operations,Logistics Coordinator,Bachelor,66000.0,Satisfactory,Yes,1961-12-18,2024-07-03
00-90931,Brenda,Payne,Female,Wellington,Porirua,2016-12-09,IT,System Administrator,Master,93000.0,Good,No,1980-07-21,2022-07-11
00-33600,Emma,Wilkinson,Female,Wellington,Lower Hutt,2017-09-06,Sales,Sales Representative,Bachelor,64000.0,Good,Yes,1988-03-29,2018-03-05
00-49599,Frances,Harrison,Female,Auckland,New Lynn,2017-03-03,Sales,Sales Specialist,Bachelor,78000.0,Good,Yes,2001-04-17,2021-07-01
00-34920,Vanessa,Fowler,Female,Auckland,Albany,2022-12-07,Operations,Operations Analyst,Bachelor,72000.0,Satisfactory,No,1987-04-12,2023-06-05
00-73156,Wendy,Parkes,Female,Wellington,Porirua,2025-10-23,IT,System Administrator,Master,104000.0,Good,Yes,1984-04-05,2026-04-21
00-58689,Suzanne,Gray,Female,Auckland,New Lynn,2017-12-05,Operations,Operations Analyst,Bachelor,58000.0,Satisfactory,No,1986-05-23,2020-09-09
00-69459,Sarah,Parsons,Female,Wellington,Porirua,2019-07-17,Operations,Logistics Coordinator,Bachelor,54000.0,Good,Yes,1973-01-17,2020-01-13
00-17936,Charlotte,Griffiths,Female,Wellington,Porirua,2019-10-24,Sales,Sales Representative,Bachelor,72000.0,Excellent,No,1989-06-20,2022-12-19
00-80807,Vanessa,Bell,Female,Auckland,Auckland City,2018-12-25,IT,IT Support Specialist,High School,55000.0,Good,Yes,1974-10-17,2019-06-23
00-96363,Aaron,Tapp,Male,Auckland,Manukau,2020-05-05,Customer Service,Help Desk Technician,High School,74000.0,Satisfactory,No,1977-04-11,2020-11-01
00-76263,Brent,West,Male,Auckland,New Lynn,2022-05-21,IT,System Administrator,Master,78000.0,Satisfactory,No,2004-10-24,2022-11-17
00-21188,Sarah,Booker,Female,Auckland,,2017-04-30,Customer Service,Customer Service Representative,Bachelor,65000.0,Satisfactory,No,1980-01-28,2021-12-26
00-24184,David,Green,Male,Auckland,Auckland City,2019-08-09,Finance,Financial Analyst,Bachelor,85000.0,Excellent,No,1984-06-11,2022-02-05
00-62531,Benjamin,Gibb,Male,Christchurch,Cathedral Square,2016-07-07,Finance,Accountant,Bachelor,91000.0,Satisfactory,No,1976-03-02,2021-01-30
00-96761,Zoe,Pollard,Female,Wellington,Wellington City,2019-07-26,,Marketing Coordinator,Bachelor,61000.0,Satisfactory,Yes,1991-06-23,2020-12-17
00-43491,Bruce,Christiansen,Male,Auckland,Manukau,2018-07-04,Operations,Inventory Specialist,High School,61000.0,Good,Yes,1974-08-20,2021-06-27
00-47947,Cheryl,Gibb,Female,Christchurch,Colombo Street,2017-07-24,Operations,Inventory Specialist,Bachelor,55000.0,Good,No,1976-08-12,2024-07-04
00-55793,Jillian,Ramsay,Female,Wellington,Lower Hutt,2019-03-24,Sales,Sales Consultant,Master,101000.0,Satisfactory,No,1976-09-06,2021-10-29
00-92210,Rachel,McFarlane,Female,Christchurch,Cathedral Square,2018-09-25,Sales,Sales Specialist,Master,68000.0,Satisfactory,No,1994-11-14,2021-02-12
00-15376,Grace,Cameron,Female,Wellington,Porirua,2020-09-17,Operations,Logistics Coordinator,Bachelor,60000.0,Excellent,No,2004-08-19,2021-07-13
00-47079,Jeffrey,Satherley,Male,Christchurch,Colombo Street,2019-07-21,Operations,Logistics Coordinator,Bachelor,67000.0,Good,Yes,1985-08-30,2020-11-06
00-26901,Elizabeth,Ford,Female,Wellington,Porirua,2021-01-25,,  Recruiter  ,Bachelor,80000.0,Good,Yes,1972-07-15,2021-07-24
00-48770,Lydia,Wells,Female,Auckland,Auckland City,2023-03-31,Operations,Logistics Coordinator,Bachelor,56000.0,Good,No,1996-03-21,2023-09-27
00-79993,Aimee,Forrest,Female,Auckland,Manukau,2017-10-02,Operations,Inventory Specialist,High School,0.0,Excellent,No,1985-08-13,2019-05-07
00-20993,David,Peters,Male,Wellington,Wellington City,2023-12-18,Marketing,Content Creator,High School,58000.0,Satisfactory,No,1991-12-01,2024-06-15
00-47601,Grant,Anderson,Male,Auckland,,2024-07-18,Finance,Accountant,Bachelor,64000.0,Needs Improvement,No,1973-04-29,2025-01-14
00-91633,NATHAN,Baker,Male,Wellington,Porirua,2020-03-24,Operations,Logistics Coordinator,Bachelor,68000.0,Satisfactory,Yes,1971-10-08,2020-09-20
00-76535,Paul,Atkinson,Male,Christchurch,Cathedral Square,2021-12-09,Operations,Inventory Specialist,High School,64000.0,Good,No,1988-03-17,2023-10-29
00-99742,Jonathan,Harper,Male,Wellington,Lower Hutt,2020-10-31,Operations,Logistics Coordinator,Bachelor,69000.0,Good,No,1999-11-19,2021-04-29
00-95948,Jessica,Crawford,Female,Auckland,Albany,2018-02-06,IT,System Administrator,Master,76000.0,Good,Yes,1995-12-19,2020-07-11
00-50173,Jason,Scott,Male,Auckland,New Lynn,2020-06-13,Marketing,Content Creator,Bachelor,59000.0,Good,No,1998-11-10,2020-12-10
00-89635,Shaun,Perry,Male,Auckland,New Lynn,2022-01-22,Customer Service,Help Desk Technician,Bachelor,59000.0,Good,No,1992-04-08,2022-07-21
00-34385,Hana,Johansen,Female,Auckland,Auckland City,2020-02-08,Finance,Accounts Payable Specialist,Bachelor,57000.0,Satisfactory,Yes,1982-01-02,2024-09-12
00-57381,Paul,Taylor,Male,Christchurch,Cathedral Square,2020-11-06,Sales,Sales Representative,Bachelor,62000.0,Good,No,2000-12-29,2024-01-15
