,employee_id,first_name,last_name,gender,region,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime_bonus,birthdate,termination_date
0,00-93810,Charlotte,Smith,Male,Christchurch,Cathedral Square,4/17/2017,Marketing,Content Creator,High School,65000,Excellent,Yes,11/9/1988,11/24/2017
1,00-10851,Jason,Martin,Male,Christchurch,Colombo Street,2/9/2023,Marketing,Marketing Coordinator,Bachelor,70000,Needs Improvement,No,9/3/1961,7/29/2024
2,00-57400,Eleanor,Rickard,Male,Auckland,Auckland City,2/3/2021,Operations,Logistics Coordinator,Bachelor,70000,Needs Improvement,No,9/23/1987,8/2/2021
3,00-80010,Amelia,Anderson,Female,Auckland,Manukau,2/6/2023,Customer Service,Support Specialist,High School,61000,Satisfactory,No,11/5/1984,8/5/2023
5,00-42953,Anaru,McIntyre,Female,Auckland,Albany,9/30/2025,Sales,Sales Representative,Bachelor,62000,Good,No,5/29/1982,3/29/2026
6,00-31174,Warren,Cook,Male,Auckland,New Lynn,8/16/2020,Operations,Operations Analyst,Bachelor,82000,Good,Yes,9/3/1995,9/1/2023
7,00-89507,Joshua,Millard,Male,Auckland,Manukau,10/22/2019,Operations,Logistics Coordinator,Bachelor,77000,Good,Yes,11/14/1970,11/12/2020
8,00-53309,Lesley,Hooper,Male,Auckland,Manukau,5/12/2016,Sales,Sales Consultant,Bachelor,101000,Good,No,12/6/1991,5/21/2017
9,00-62772,Joshua,Reid,Male,Wellington,Porirua,10/24/2023,Operations,Inventory Specialist,Bachelor,61000,Excellent,Yes,3/24/1999,4/21/2024
10,00-62565,Mark,Scott,Male,Wellington,Wellington City,2/7/2024,IT,Software Developer,Bachelor,103000,Good,Yes,5/24/1982,8/5/2024
11,00-76562,Max,Larsen,Male,Christchurch,Cathedral Square,4/13/2017,Operations,Logistics Coordinator,Bachelor,68000,Satisfactory,No,4/7/1979,5/6/2024
12,00-94607,Lily,Miles,Female,Christchurch,Cathedral Square,7/28/2018,Sales,Sales Representative,Bachelor,60000,Satisfactory,Yes,9/6/1978,9/22/2021
13,00-97538,Daniel,Blick,Female,Wellington,Wellington City,1/31/2023,Sales,Sales Consultant,Master,80000,Satisfactory,No,7/2/1979,7/30/2023
14,00-10464,William,Long,Male,Auckland,Auckland City,8/29/2018,Customer Service,Support Specialist,High School,58000,Excellent,No,6/28/1995,8/24/2023
15,00-42706,Patricia,  Price  ,Male,Christchurch,Colombo Street,3/16/2022,Marketing,Content Creator,High School,62000,Satisfactory,No,5/28/1997,9/12/2022
16,00-50001,Georgia,Jones,Male,Auckland,Manukau,3/30/2023,Operations,Logistics Coordinator,Bachelor,67000,Excellent,Yes,9/22/1983,9/26/2023
17,00-51114,Justine,Skinner,Female,Auckland,Auckland City,11/29/2019,Customer Service,Customer Service Representative,Bachelor,57000,Satisfactory,No,3/7/1971,5/27/2020
18,00-50538,James,Harris,Male,Auckland,Manukau,4/18/2022,Sales,Sales Specialist,Master,71000,Good,No,12/27/1992,10/15/2022
19,00-77000,Robert,Muir,Male,Auckland,Manukau,3/4/2020,Sales,Sales Specialist,Bachelor,73000,Satisfactory,No,5/12/1987,8/31/2020
20,00-60328,Michael,Wood,Male,Auckland,New Lynn,4/13/2020,Sales,Sales Specialist,Bachelor,80000,Good,Yes,2/9/1977,3/17/2021
21,00-76162,gabrielle,Chandler,Female,Wellington,Wellington City,1/28/2019,Customer Service,Help Desk Technician,Bachelor,57000,Good,Yes,8/19/1971,7/27/2019
22,00-64377,Anna,sansen,Male,Wellington,Lower Hutt,10/11/2019,Customer Service,Customer Service Representative,High School,59000,Excellent,Yes,6/24/1975,4/15/2021
23,00-13804,jason,Page,Female,Auckland,Albany,4/15/2019,IT,Software Developer,Bachelor,94000,Satisfactory,Yes,1/13/1967,4/10/2022
24,00-65255,Yvonne,Spencer,Male,Auckland,Albany,8/5/2018,Sales,Sales Representative,Bachelor,70000,Good,No,3/29/1983,1/4/2021
25,00-89415,Jacob,Webb,Female,Wellington,Wellington City,10/26/2022,IT,IT Support Specialist,High School,55000,Satisfactory,Yes,1/21/2003,4/24/2023
26,00-15383,Karen,Adams,Female,Christchurch,Colombo Street,1/13/2019,Marketing,Content Creator,,61000,Good,No,6/26/1974,9/18/2021
